areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2021-03-11,50_54,3.0,34.0,0.9
E92000001,England,nation,2021-03-11,55_59,7.0,43.0,1.2
E92000001,England,nation,2021-03-11,60+,94.0,735.0,5.5
E92000001,England,nation,2021-03-11,60_64,4.0,32.0,1.0
E92000001,England,nation,2021-03-11,65_69,5.0,70.0,2.5
E92000001,England,nation,2021-03-11,70_74,17.0,108.0,3.9
E92000001,England,nation,2021-03-11,75_79,18.0,110.0,5.7
E92000001,England,nation,2021-03-11,80_84,13.0,131.0,9.1
E92000001,England,nation,2021-03-11,85_89,17.0,144.0,16.4
E92000001,England,nation,2021-03-11,90+,20.0,140.0,27.1
E92000001,England,nation,2021-03-10,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-10,00_59,13.0,101.0,0.2
E92000001,England,nation,2021-03-10,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-10,10_14,0.0,1.0,0.0
E92000001,England,nation,2021-03-10,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-10,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-10,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-10,30_34,0.0,1.0,0.0
E92000001,England,nation,2021-03-10,35_39,1.0,2.0,0.1
E92000001,England,nation,2021-03-10,40_44,0.0,7.0,0.2
E92000001,England,nation,2021-03-10,45_49,3.0,11.0,0.3
E92000001,England,nation,2021-03-10,50_54,3.0,37.0,0.9
E92000001,England,nation,2021-03-10,55_59,6.0,42.0,1.1
E92000001,England,nation,2021-03-10,60+,83.0,756.0,5.6
E92000001,England,nation,2021-03-10,60_64,2.0,36.0,1.2
E92000001,England,nation,2021-03-10,65_69,13.0,75.0,2.7
E92000001,England,nation,2021-03-10,70_74,11.0,107.0,3.8
E92000001,England,nation,2021-03-10,75_79,10.0,102.0,5.3
E92000001,England,nation,2021-03-10,80_84,17.0,132.0,9.2
E92000001,England,nation,2021-03-10,85_89,18.0,161.0,18.3
E92000001,England,nation,2021-03-10,90+,12.0,143.0,27.6
E92000001,England,nation,2021-03-09,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-09,00_59,11.0,103.0,0.2
E92000001,England,nation,2021-03-09,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-09,10_14,0.0,1.0,0.0
E92000001,England,nation,2021-03-09,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-09,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-09,25_29,0.0,1.0,0.0
E92000001,England,nation,2021-03-09,30_34,0.0,2.0,0.1
E92000001,England,nation,2021-03-09,35_39,0.0,2.0,0.1
